timestamp,price,amount
1402907167,599.72,33007200
1402993571,596.46,19384800
1403079968,612.4,22105500
1403166367,610.08,11232200
1403252768,589.44,17307900
1403339167,591.76,14095600
1403425570,604.54,12689000
1403511967,593.67,9732680
1403602266,594.27,13248600
1403694075,571.57,17505000
1403813170,573.3,14991400
1403903467,584.93,17807400
1404024372,600.89,11872300
1404116499,626.49,21052800
1404202872,654.42,48388800
1404307273,645.44,28179200
1404407768,645.18,20905000
1404523271,631.67,22311500
1404666371,634.79,9920810
1404815040,622.02,18318100
1404915240,624.45,9381280
1405001640,614.27,12872200
1405088040,629.17,16069200
1405174440,628.55,15924500
1405260840,629.07,12269200
1405347240,619.95,11019700
1405433640,623.82,11657300
1405520040,616.68,178002
1405606440,620.05,12468000
1405692840,620.93,15592200
1405779240,628.09,13970800
1405865640,625.02,6900530
1405952040,620.45,7957950
1406039040,622,10599200
1406125440,622.91,8896050
1406211840,601.16,22554500
1406298240,601.76,16273400
1406384640,597.82,12024600
1406471040,597.58,8046840
1406561040,582.35,20814600
1406647440,583.66,13700800
1406739840,576.81,11292600
1406826240,585.47,22315200
1406913840,597.12,19720000
1407002040,589.08,9142410
1407088440,586.59,8098280
1407174840,589.73,8483100
1407261240,586.45,11425700
1407347640,586.66,9946090
1407434040,589.68,10084400
1407520440,593.09,12583700
1407606840,589.51,8349690
1407693240,590.39,7003670
1407779640,580.5,11124900
1407866040,569.53,17690900
1407952440,539.68,23363400
1408038840,516.6,35701100
1408125240,493.48,25146900
1408211640,506.35,22099700
1408298040,492.13,23558300
1408384440,460.03,48153900
1408470840,477.45,37743700
1408557240,504.06,39709200
1408643640,525.04,58592700
1408730040,517.64,39664500
1408816440,501.24,26083800
1408902840,511.39,21866000
1408989240,502.39,19460300
1409075640,511.84,22103100
1409162040,512.22,22971800
1409248440,508.08,19420000
1409334840,510.36,19445100
1409421240,504.56,12878900
1409507640,475.19,40842400
1409594040,481.85,21960900
1409681040,482.65,21822000
1409767440,477.17,14968700
1409853840,488.18,24943000
1409940240,484.69,16290600
1410026640,487.6,11664700
1410113040,485.55,8685120
1410200640,479.01,27228800
1410287040,472.04,19244500
1410373440,484.65,25429800
1410459840,474.61,17800500
1410546240,476.12,16098500
1410632640,480.77,15873300
1410719040,477.71,12193600
1410805440,476.81,15046100
1410891840,469.81,15259200
1410978240,453.86,19889500
1411064640,425.23,26903200
1411151039,398.95,43715600
1411237440,412.87,35792400
1411323840,402.32,28464200
1411410239,402.18,22593400
1411496640,434.9,28685800
1411583639,428.89,46030200
1411670039,410.61,28122500
1411756440,404.69,20781800
1411842840,398.39,15724500
1411929239,381.14,19292600
1412015639,381.27,31202600
1412102039,384.02,28675900
1412231940,384.46,22606200
1412318339,376.26,22168500
1412408640,358.61,33121600
1412495040,328.08,51299200
1412581440,321.4,103528000
1412667840,326.92,65891100
1412754240,333.21,39933400
1412840645,357.08,61588600
1412927040,371.21,81910200
1413013440,362.1,42130300
1413099840,361.01,10129000
1413186240,372.68,20884100
1413272640,404.96,46026500
